non-preferred name	preferred name
putative dolichol phosphate phosphatase	putative dolichyl-phosphatase
putative dolichyl-phosphate N-acetylglucosaminyltransferase	putative dolichyl-phosphate alpha-N-acetylglucosaminyltransferase
putative dolichyl-phosphate acetylglucosaminyltransferase	putative dolichyl-phosphate alpha-N-acetylglucosaminyltransferase
putative dolichol-phosphate mannose synthase	putative dolichyl-phosphate beta-D-mannosyltransferase
putative mannosylphosphoryldolichol synthase	putative dolichyl-phosphate beta-D-mannosyltransferase
putative dolichol-phosphate mannosyltransferase	putative dolichyl-phosphate beta-D-mannosyltransferase
putative mannosylphosphodolichol synthase	putative dolichyl-phosphate beta-D-mannosyltransferase
putative mannosylphosphodolichol phosphodiesterase	putative dolichylphosphate-mannose phosphodiesterase
putative dopamine beta-hydroxylase	putative dopamine beta-monooxygenase
putative double-stranded RNA binding motif domain protein	putative double-stranded RNA-binding domain protein
putative dTDP-4-amino-4,6-dideoxy-D-glucose aminotransferase	putative dTDP-4-amino-4,6-dideoxy-D-glucose transaminase
putative thymidine diphospho-4-keto-6-deoxy-D-glucose transaminase	putative dTDP-4-amino-4,6-dideoxy-D-glucose transaminase
putative thymidine diphospho-4-keto-6-deoxy-D-glucose-glutamic transaminase	putative dTDP-4-amino-4,6-dideoxy-D-glucose transaminase
putative TDP-4-keto-6-deoxy-D-glucose transaminase	putative dTDP-4-amino-4,6-dideoxy-D-glucose transaminase
putative dTDP-4-amino-4,6-dideoxygalactose aminotransferase	putative dTDP-4-amino-4,6-dideoxygalactose transaminase
putative dTDP-4-keto-6-deoxyglucose reductase	putative dTDP-4-dehydro-6-deoxyglucose reductase
putative thymidine diphospho-4-ketorhamnose 3,5-epimerase	putative dTDP-4-dehydrorhamnose 3,5-epimerase
putative dTDP-L-rhamnose synthetase	putative dTDP-4-dehydrorhamnose 3,5-epimerase
putative probable DTDP-4-dehydrorhamnose 3,5-epimerase	putative dTDP-4-dehydrorhamnose 3,5-epimerase
putative dTDP-4-keto-6-deoxyglucose 3,5-epimerase	putative dTDP-4-dehydrorhamnose 3,5-epimerase
putative dTDP-6-deoxy-L-mannose dehydrogenase	putative dTDP-4-dehydrorhamnose reductase
putative dTDP-4-keto-L-rhamnose reductase	putative dTDP-4-dehydrorhamnose reductase
putative thymidine-diphosphate-galactose dehydrogenase	putative dTDP-galactose 6-dehydrogenase
putative TMPK	putative dTMP kinase
putative thymidylic acid kinase	putative dTMP kinase
putative thymidylate kinase	putative dTMP kinase
putative deoxyuridine 5'-triphosphate nucleotidohydrolase (dUTPase) (dUTP pyrophosphatase)	putative dUTP diphosphatase
putative desoxyuridine 5'-triphosphate nucleotidohydrolase	putative dUTP diphosphatase
putative desoxyuridine 5'-triphosphatase	putative dUTP diphosphatase
putative deoxyuridine-triphosphatase	putative dUTP diphosphatase
putative dUTP pyrophosphatase	putative dUTP diphosphatase
putative dUTPase	putative dUTP diphosphatase
putative EAL domain containing protein	putative EAL domain protein
putative EcoRII C-terminal	putative EcoRII C-terminal domain protein
putative N-acetyldiaminobutyrate dehydratase	putative ectoine synthase
putative L-ectoine synthase	putative ectoine synthase
putative N-acetyldiaminobutanoate dehydratase	putative ectoine synthase
putative EF-hand calcium-binding domain-containing protein 3	putative EF-hand calcium-binding domain protein
putative electron transfer flavoprotein domain	putative electron transfer flavoprotein
putative electron transfer flavoprotein alpha-subunit	putative electron transfer flavoprotein, alpha subunit
putative electron transfer flavoprotein subunit alpha (alpha-etf) (electrontransfer flavoprotein large subunit) (etfls)	putative electron transfer flavoprotein, alpha subunit
putative electron transfer flavoprotein subunit beta (beta-etf) (electrontransfer flavoprotein small subunit) (etfss)	putative electron transfer flavoprotein, beta subunit
putative electron transfer flavoprotein beta-subunit	putative electron transfer flavoprotein, beta subunit
putative electron transport complex protein RnfC (Nitrogen fixation proteinrnfC)	putative electron transport complex protein RnfC
putative electron transfer flavoprotein-ubiquinone oxidoreductase, (ETF-QO) (ETF-ubiquinoneoxidoreductase) (ETF dehydrogenase) (Electron-transferring-flavoprotein dehydrogenase)	putative electron-transferring-flavoprotein dehydrogenase
putative ETF dehydrogenase	putative electron-transferring-flavoprotein dehydrogenase
putative electron transfer flavoprotein-ubiquinone oxidoreductase	putative electron-transferring-flavoprotein dehydrogenase
putative ETF-QO	putative electron-transferring-flavoprotein dehydrogenase
putative ETF-ubiquinone oxidoreductase	putative electron-transferring-flavoprotein dehydrogenase
putative Elongation factor G (EF-G)	putative elongation factor G (EF-G)
putative laminarinase	putative endo-1,3(4)-beta-glucanase
putative endo-1,3-beta-glucanase	putative endo-1,3(4)-beta-glucanase
putative 1,4-beta-D-xylann xylannohydrolase	putative endo-1,4-beta-xylannase
putative endo-N-acetylneuraminidase	putative endo-alpha-sialidase
putative poly(alpha-2,8-sialosyl) endo-N-acetylneuraminidase	putative endo-alpha-sialidase
putative endoneuraminidase	putative endo-alpha-sialidase
putative endo-beta-N-acetylglucosaminidase F1 (Mannosyl-glycoprotein endo-beta-N-acetyl-glucosaminidase F1) (Di-N-acetylchitobiosyl beta-N-acetylglucosaminidase F1) (EndoglycosidaseF1)	putative endo-beta-N-acetylglucosaminidase F1
putative endo-chitosanase, pseudogene	putative endo-chitosanase B
putative endoglucanase 1 (Endoglucanase I) (Endo-1,4-beta-glucanase) (Cellulase) (EG-I)	putative endoglucanase 1
putative endoglucanase D (EGD) (Endo-1,4-beta-glucanase)(Cellulase D)	putative endoglucanase D
putative endo-glucosylceramidase	putative endoglycosylceramidase
putative endoglycoceramidase	putative endoglycosylceramidase
putative endonuclease 4 (endonuclease iv) (endodeoxyribonucleaseiv)	putative endonuclease 4
putative endonuclease-1 (endonuclease i) (endo i)	putative endonuclease-1
putative protease Clp	putative endopeptidase Clp
putative endopeptidase TI	putative endopeptidase Clp
putative clp protease	putative endopeptidase Clp
putative caseinolytic protease	putative endopeptidase Clp
putative protease TI	putative endopeptidase Clp
putative ATP-dependent protease LA	putative endopeptidase La
putative ATP-dependent Lon protease	putative endopeptidase La
putative endopeptidase LA	putative endopeptidase La
putative ATP-dependent serine proteinase	putative endopeptidase La
putative E.coli cytoplasmic proteinase	putative endopeptidase So
putative polyphosphate depolymerase	putative endopolyphosphatase
putative polyphosphatase	putative endopolyphosphatase
putative endoribonuclease L-PSP domain	putative endoribonuclease L-PSP domain protein
putative ECE-1	putative endothelin-converting enzyme 1
putative endothia aspartic proteinase	putative endothiapepsin
putative enoyl-ACP reductase	putative enoyl-[acyl-carrier-protein] reductase (NADH)
putative NADH-specific enoyl-ACP reductase	putative enoyl-[acyl-carrier-protein] reductase (NADH)
putative NADH-enoyl acyl carrier protein reductase	putative enoyl-[acyl-carrier-protein] reductase (NADH)
putative enoyl-(acyl-carrier-protein) reductase (nadh2)	putative enoyl-[acyl-carrier-protein] reductase (NADH2)
putative acyl-ACP dehydrogenase	putative enoyl-[acyl-carrier-protein] reductase (NADPH, B-specific)
putative enoyl acyl-carrier-protein reductase	putative enoyl-[acyl-carrier-protein] reductase (NADPH, B-specific)
putative NADPH 2-enoyl Co A reductase	putative enoyl-[acyl-carrier-protein] reductase (NADPH, B-specific)
putative unsaturated acyl-CoA hydratase	putative enoyl-CoA hydratase
putative enoyl hydrase	putative enoyl-CoA hydratase
putative ent-CDP synthase	putative ent-copalyl diphosphate synthase
putative ent-kaurene synthetase A	putative ent-copalyl diphosphate synthase
putative ent-kaurene synthase A	putative ent-copalyl diphosphate synthase
putative ent-kaurene synthase B	putative ent-kaurene synthase
putative ent-kaurene synthetase B	putative ent-kaurene synthase
putative PMD synthase	putative ent-pimara-9(11),15-diene synthase
putative ent-sandaracopimara-8(14),15-diene synthase	putative ent-sandaracopimaradiene synthase
putative enterokinase	putative enteropeptidase
putative sea-urchin-hatching proteinase	putative envelysin
putative hatching enzyme	putative envelysin
putative [xanthine-dehydrogenase]:oxidized-glutathione S-oxidoreductase	putative enzyme-thiol transhydrogenase (glutathione-disulfide)
putative glutathione-dependent thiol:disulfide oxidoreductase	putative enzyme-thiol transhydrogenase (glutathione-disulfide)
putative thiol:disulfide oxidoreductase	putative enzyme-thiol transhydrogenase (glutathione-disulfide)
putative enzyme-thiol transhydrogenase (oxidized-glutathione)	putative enzyme-thiol transhydrogenase (glutathione-disulfide)
putative epi-isozizaene synthase (eizs) (sesquiterpene synthase)(sesquiterpene cyclase)	putative epi-isozizaene synthase
putative equine arteritis virus serine peptidase	putative equine arterivirus serine peptidase
putative nonstructural protein 4 serine protease	putative equine arterivirus serine peptidase
putative 3C-like Ser protease	putative equine arterivirus serine peptidase
putative Arterivirus NSP4	putative equine arterivirus serine peptidase
putative 3C-like serine protease	putative equine arterivirus serine peptidase
putative 3CLSP	putative equine arterivirus serine peptidase
putative Chymotrypsin-like serine proteinase nsP4	putative equine arterivirus serine peptidase
putative 3-hydroxyaspartate dehydratase	putative erythro-3-hydroxyaspartate ammonia-lyase
putative erythro-3-hydroxy-L(s)-aspartate hydro-lyase (deaminating)	putative erythro-3-hydroxyaspartate ammonia-lyase
putative erythro-3-hydroxyaspartate dehydratase	putative erythro-3-hydroxyaspartate ammonia-lyase
putative erythro-beta-hydroxyaspartate dehydratase	putative erythro-3-hydroxyaspartate ammonia-lyase
putative erythronolide condensing enzyme	putative erythronolide synthase
putative E4PDH	putative erythrose-4-phosphate dehydrogenase
putative erythrose 4-phosphate dehydrogenase	putative erythrose-4-phosphate dehydrogenase
putative E4P dehydrogenase	putative erythrose-4-phosphate dehydrogenase
putative D-erythrulose reductase	putative erythrulose reductase
putative 17-beta-estradiol dehydrogenase	putative estradiol 17-beta-dehydrogenase
putative 17-beta-hydroxysteroid dehydrogenase	putative estradiol 17-beta-dehydrogenase
putative estrogen 17-oxidoreductase	putative estradiol 17-beta-dehydrogenase
putative 17-beta-HSD	putative estradiol 17-beta-dehydrogenase
putative 20-alpha-hydroxysteroid dehydrogenase	putative estradiol 17-beta-dehydrogenase
putative estradiol 6-beta-hydroxylase	putative estradiol 6-beta-monooxygenase
putative ethanolamine utilisation protein	putative ethanolamine utilization protein
putative ethanolamine utilisation protein, EutH	putative ethanolamine utilization protein, EutH
putative CTP:phosphoethanolamine cytidylyltransferase	putative ethanolamine-phosphate cytidylyltransferase
putative phosphorylethanolamine transferase	putative ethanolamine-phosphate cytidylyltransferase
putative O-phosphoethanolamine-phospholyase	putative ethanolamine-phosphate phospho-lyase
putative O-phosphorylethanol-amine phospho-lyase	putative ethanolamine-phosphate phospho-lyase
putative amino alcohol O-phosphate phospholyase	putative ethanolamine-phosphate phospho-lyase
putative ethylbenzene dehydrogenase	putative ethylbenzene hydroxylase
putative UvrABC system protein A (UvrA protein) (Excinuclease ABC subunit A)	putative excinuclease ABC, A subunit
putative excinuclease ABC subunit A	putative excinuclease ABC, A subunit
putative excinuclease ABC, subunit A, form 2	putative excinuclease ABC, A subunit
putative excinuclease ABC subunit B	putative excinuclease ABC, B subunit
putative excinuclease ABC subunit C	putative excinuclease ABC, C subunit
putative exo-alpha-1,4-glucan lyase	putative exo-(1->4)-alpha-D-glucan lyase
putative exo-(1,4)-alpha-D-glucan lyase	putative exo-(1->4)-alpha-D-glucan lyase
putative alpha-1,4-glucan 1,5-anhydro-D-fructose eliminase	putative exo-(1->4)-alpha-D-glucan lyase
putative alpha-1,4-glucan exo-lyase	putative exo-(1->4)-alpha-D-glucan lyase
putative alpha-1,4-glucan lyase	putative exo-(1->4)-alpha-D-glucan lyase
putative exo-beta-D-glucosaminidase	putative exo-1,4-beta-D-glucosaminidase
putative GlcNase	putative exo-1,4-beta-D-glucosaminidase
putative exochitosanase	putative exo-1,4-beta-D-glucosaminidase
putative N-acylneuraminate glycohydrolase	putative exo-alpha-sialidase
putative neuraminidase	putative exo-alpha-sialidase
putative alpha-neuraminidase	putative exo-alpha-sialidase
putative sialidase	putative exo-alpha-sialidase
putative exopolygalacturanosidase	putative exo-poly-alpha-galacturonosidase
putative lambda exonuclease	putative exodeoxyribonuclease (lambda-induced)
putative phage SP3 DNase	putative exodeoxyribonuclease (phage SP3-induced)
putative DNA 5'-dinucleotidohydrolase	putative exodeoxyribonuclease (phage SP3-induced)
putative coli exonuclease I	putative exodeoxyribonuclease I
putative exodeoxyribonuclease i (exonuclease i) (dnadeoxyribophosphodiesterase) (drpase)	putative exodeoxyribonuclease I
putative exonuclease I	putative exodeoxyribonuclease I
putative exonuclease III	putative exodeoxyribonuclease III
putative E. coli exonuclease III	putative exodeoxyribonuclease III
putative E.coli exonuclease V	putative exodeoxyribonuclease V
putative exonuclease V	putative exodeoxyribonuclease V
putative exodeoxyribonuclease VII large subunit	putative exodeoxyribonuclease VII, large subunit
putative exodeoxyribonuclease VII small subunit	putative exodeoxyribonuclease VII, small subunit
putative exopolyphosphatase (exopolypase) (metaphosphatase)	putative exopolyphosphatase
putative metaphosphatase	putative exopolyphosphatase
putative exopolypase	putative exopolyphosphatase
putative ribonuclease II	putative exoribonuclease II
putative outative extracellular ligand binding protein	putative extracellular ligand binding protein
putative : F0F1-type ATP synthase, subunit I	putative F0F1-type ATP synthase, subunit I
putative FAD pyrophosphatase	putative FAD diphosphatase
putative fad linked oxidase, c-terminal:fad linked oxidase, n-terminal	putative FAD linked oxidase
putative fad linked oxidases, c- domain protein	putative FAD linked oxidase, C-terminal domain protein
putative FAD linked oxidase, C- domain protein	putative FAD linked oxidase, C-terminal domain protein
putative FAD linked oxidase, C-domain protein	putative FAD linked oxidase, C-terminal domain protein
putative fad linked oxidases, c-terminal domain protein	putative FAD linked oxidase, C-terminal domain protein
putative fad linked oxidase, n-terminal	putative FAD linked oxidase, N-terminus domain protein
putative FADS	putative FAD synthetase
putative FAD pyrophosphorylase	putative FAD synthetase
putative flavin adenine dinucleotide synthetase	putative FAD synthetase
putative FAD diphosphorylase	putative FAD synthetase
putative FMN adenylyltransferase	putative FAD synthetase
putative FMN cyclase	putative FAD-AMP lyase (cyclizing)
putative geranylgeranyl pyrophosphate synthetase	putative farnesyltranstransferase
putative geranylgeranyl pyrophosphate synthase	putative farnesyltranstransferase
putative geranylgeranyl pyrophosphate synthetase, (ggppsynthetase) (ggps)	putative farnesyltranstransferase
putative geranylgeranyl-diphosphate synthase	putative farnesyltranstransferase
putative geranylgeranyl-PP synthetase	putative farnesyltranstransferase
putative FASTK	putative Fas-activated serine/threonine kinase
putative FAST	putative Fas-activated serine/threonine kinase
putative yeast fatty acid synthase	putative fatty-acyl-CoA synthase
putative FAEES	putative fatty-acyl-ethyl-ester synthase
putative FAEE synthase	putative fatty-acyl-ethyl-ester synthase
putative Fe-S oxidoreductases	putative Fe-S oxidoreductase
putative probable fe(2+)-trafficking protein	putative Fe(2+)-trafficking protein
putative abc-type fe3+-siderophores transport systems, periplasmic components	putative Fe3+-siderophore ABC transporter, periplasmic Fe3+-siderophore-binding protein
putative ferredoxin:	putative ferredoxin
putative ferredoxin. {allochromatium vinosum;}	putative ferredoxin
putative Ferredoxin	putative ferredoxin
putative ferredoxin. {pseudomonas stutzeri;} ^|^pir|a30025|fepstv ferredoxin [3fe-4s][4fe-4s] - pseudomonas stutzeri {pseudomonas stutzeri;}	putative ferredoxin
putative H(2) oxidizing hydrogenase	putative ferredoxin hydrogenase
putative hydrogenase (ferredoxin)	putative ferredoxin hydrogenase
putative uptake hydrogenase	putative ferredoxin hydrogenase
putative hydrogenase II	putative ferredoxin hydrogenase
putative hydrogen-lyase	putative ferredoxin hydrogenase
putative H(2) producing hydrogenase	putative ferredoxin hydrogenase
putative hydrogenlyase	putative ferredoxin hydrogenase
putative hydrogenase I	putative ferredoxin hydrogenase
putative ferredoxin-NADP(+) reductase subunit alpha	putative ferredoxin--NADP(+) reductase, subunit alpha
putative erredoxin--nadp reductase (fnr) (flavodoxin reductase)(flxr) (fldr) (methyl viologen resistance protein a) (da1)	putative ferredoxin--NADP(+) reductase
putative NADPH:adrenodoxin oxidoreductase	putative ferredoxin--NADP(+) reductase
putative ferredoxin--NADP reductase	putative ferredoxin--NADP(+) reductase
putative ferredoxin--NADP reductase l	putative ferredoxin--NADP(+) reductase
putative adrenodoxin reductase	putative ferredoxin--NADP(+) reductase
putative ferredoxin--nadp reductase (fnr) (flavodoxin reductase)(flxr) (fldr) (methyl viologen resistance protein a) (da1) l	putative ferredoxin--NADP(+) reductase
putative ferredoxin-1 (Ferredoxin I) (FdI)	putative ferredoxin-1
putative ferric uptake regulation protein (ferric uptake regulator)	putative ferric uptake regulation protein
putative ferric chelate reductase	putative ferric-chelate reductase
putative NADH:Fe(3+)-EDTA reductase	putative ferric-chelate reductase
putative iron chelate reductase	putative ferric-chelate reductase
putative NADH:Fe(3+) oxidoreductase	putative ferric-chelate reductase
putative Ferrichrome-binding protein	putative ferrichrome-binding protein
putative iron chelatase	putative ferrochelatase
putative heme synthetase	putative ferrochelatase
putative protoheme ferro-lyase	putative ferrochelatase
putative heme synthase	putative ferrochelatase
putative ferrous ion transport protein A	putative ferrous iron transport protein A
putative Ferrous iron transport protein B	putative ferrous iron transport protein B
putative ferrous iron transport protein B homolog domain protein	putative ferrous iron transport protein B-like domain protein
putative ceruloplasmin	putative ferroxidase
putative cinnamoyl ester hydrolase	putative feruloyl esterase
putative hydroxycinnamoyl esterase	putative feruloyl esterase
putative ferulic acid esterase	putative feruloyl esterase
putative fibrinolytic proteinase	putative fibrolase
putative fibronectin-binding protein a n-terminus (fbpa)	putative fibronectin-binding A domain protein
putative Fibronectin-binding protein A domain protein	putative fibronectin-binding A domain protein
putative fibronectin-binding protein a n-terminus	putative fibronectin-binding A, N-terminal domain protein
putative Fibronectin-binding protein A N-terminal domain protein	putative fibronectin-binding A, N-terminal domain protein
putative fibronectin/fibrinogen-binding protein, internal deletion	putative fibronectin/fibrinogen-binding protein
putative ficin	putative ficain
putative fimbrial assembly protein (piln)	putative fimbrial assembly protein
putative Flagella accessory protein C	putative flagella accessory protein C
putative flagella accessory protein c (flac)	putative flagella accessory protein C
putative flagellar basal body rod protein FlgB	putative flagellar basal-body rod protein FlgB
putative flagellar basal body rod protein FlgC	putative flagellar basal-body rod protein FlgC
putative flagellar basal-body rod protein FlgG (Distal rod protein)	putative flagellar basal-body rod protein FlgG
putative bifunctional flagellar biosynthesis protein FliR/FlhB	putative flagellar biosynthesis protein FliR/FlhB
putative flagellar hook protein flgE	putative flagellar hook protein FlgE
putative Flagellar hook-associated protein 2	putative flagellar hook-associated protein 2
putative flagellar hook-associated protein 2 c-terminus	putative flagellar hook-associated protein 2 C-terminal domain protein
putative Flagellar hook-associated protein 3	putative flagellar hook-associated protein 3
putative flagellar hook-associated protein 1	putative flagellar hook-associated protein FlgK
putative flagellar hook-basal body complex protein (flie)	putative flagellar hook-basal body complex protein FliE
putative flagellar hook-basal body protein FliE	putative flagellar hook-basal body complex protein FliE
putative flagellar motor switch phosphatase fliy (chey-pphosphatase fliy) (flagellar motor switch protein fliy)	putative flagellar motor switch phosphatase FliY
putative flagellar motor switch protein G	putative flagellar motor switch protein FliG
putative Flagellar motor switch protein fliM	putative flagellar motor switch protein FliM
putative flagellin	putative flagellin protein
putative naringenin 3-dioxygenase	putative flavanone 3-dioxygenase
putative flavanone synthase I	putative flavanone 3-dioxygenase
putative (2S)-flavanone 3-hydroxylase	putative flavanone 3-dioxygenase
putative flavanone 3-hydroxylase	putative flavanone 3-dioxygenase
putative naringenin 3-hydroxylase	putative flavanone 3-dioxygenase
putative naringenin,2-oxoglutarate:oxygen oxidoreductase (3-hydroxylanting)	putative flavanone 3-dioxygenase
putative flavanone 3-beta-hydroxylase	putative flavanone 3-dioxygenase
putative 1->2 UDP-rhamnosyltransferase	putative flavanone 7-O-glucoside 2''-O-beta-L-rhamnosyltransferase
putative flavin containing amine oxidoreductas	putative flavin containing amine oxidoreductase
putative flavin dependant oxidoreductase	putative flavin dependent oxidoreductase
putative NADPH:flavin oxidoreductase	putative flavin reductase
putative NADPH:riboflavin oxidoreductase	putative flavin reductase
putative FMN reductase (NADPH)	putative flavin reductase
putative NADPH-flavin reductase	putative flavin reductase
putative NADPH dehydrogenase (flavin)	putative flavin reductase
putative NADPH-dependent FMN reductase	putative flavin reductase
putative riboflavin mononucleotide (reduced nicotinamide adenine dinucleotide phosphate) reductase	putative flavin reductase
putative NADPH-specific FMN reductase	putative flavin reductase
putative NADPH-FMN reductase	putative flavin reductase
putative dimethylaniline N-oxidase	putative flavin-containing monooxygenase
putative flavin monooxygenase	putative flavin-containing monooxygenase
putative DMA oxidase	putative flavin-containing monooxygenase
putative dimethylaniline oxidase	putative flavin-containing monooxygenase
putative flavin mixed function oxidase	putative flavin-containing monooxygenase
putative N,N-dimethylaniline monooxygenase	putative flavin-containing monooxygenase
putative methylphenyltetrahydropyridine N-monooxygenase	putative flavin-containing monooxygenase
putative mixed-function amine oxidase	putative flavin-containing monooxygenase
putative FAD-containing monooxygenase	putative flavin-containing monooxygenase
putative dimethylaniline monooxygenase (N-oxide-forming)	putative flavin-containing monooxygenase
putative FMO	putative flavin-containing monooxygenase
putative Ziegler's enzyme	putative flavin-containing monooxygenase
putative Yellow fever virus protease	putative flavivirin
putative NS2B-3 proteinase	putative flavivirin
putative UDP-glucose-luteolin beta-D-glucosyltransferase	putative flavone 7-O-beta-glucosyltransferase
putative UDP-glucose-apigenin beta-glucosyltransferase	putative flavone 7-O-beta-glucosyltransferase
putative flavone synthase I	putative flavone synthase
putative FNS I	putative flavone synthase
putative flavonoid 3'-hydroxylase	putative flavonoid 3'-monooxygenase
putative F3',5'H	putative flavonoid 3',5'-hydroxylase
putative UDP-glucose flavonol 3-O-glucosyltransferase	putative flavonol 3-O-glucosyltransferase
putative UDP-glucose:flavonol 7-O-glucosyltransferase	putative flavonol 7-O-beta-glucosyltransferase
putative FLS	putative flavonol synthase
putative flavonoid 2-oxoglutarate-dependent dioxygenase	putative flavonol synthase
putative UDP-rhamnose:flavonol 3-O-glucoside rhamnosyltransferase	putative flavonol-3-O-glucoside L-rhamnosyltransferase
putative uridine diphosphorhamnose-flavonol 3-O-glucoside rhamnosyltransferase	putative flavonol-3-O-glucoside L-rhamnosyltransferase
putative FlgN protein protein	putative FlgN protein
putative FMN oxidoreductase CC3083 [imported]	putative FMN oxidoreductase CC3083
putative NAD(P)H(2) dehydrogenase (FMN)	putative FMN reductase
putative NAD(P)H-FMN reductase	putative FMN reductase
putative flavine mononucleotide reductase	putative FMN reductase
putative NAD(P)H:flavin oxidoreductase	putative FMN reductase
putative riboflavin mononucleotide (reduced nicotinamide adenine dinucleotide (phosphate)) reductase	putative FMN reductase
putative NAD(P)H:FMN oxidoreductase	putative FMN reductase
putative flavin mononucleotide reductase	putative FMN reductase
putative NAD(P)H dehydrogenase (FMN)	putative FMN reductase
putative NAD(P)H-dependent FMN reductase	putative FMN reductase
putative riboflavine mononucleotide reductase	putative FMN reductase
putative NAD(P)H(2):FMN oxidoreductase	putative FMN reductase
putative riboflavin mononucleotide reductase	putative FMN reductase
putative fmn-dependent NADH-azoreductase 2 (fmn-dependent nadh-azocompound oxidoreductase 2) (azo-dye reductase 2)	putative FMN-dependent NADH-azoreductase 2
putative FOG LysM repeat	putative FOG LysM repeat protein
putative glycerone synthase	putative formaldehyde transketolase
putative dihydroxyacetone synthase	putative formaldehyde transketolase
putative DHAS	putative formaldehyde transketolase
putative formamide amidohydrolase	putative formamidase
putative pyruvate formate-lyase	putative formate C-acetyltransferase
putative formate acetyltransferase	putative formate C-acetyltransferase
putative pyruvic formate-lyase	putative formate C-acetyltransferase
putative formate dehydrogenase H (Formate-hydrogen-lyase-linked,selenocysteine-containing polypeptide) (Formate dehydrogenase-H alphasubunit) (FDH-H)	putative formate dehydrogenase H
putative formate dehydrogenase-O, major subunit (Formatedehydrogenase-O subunit alpha) (FDH-Z subunit alpha) (Aerobic formatedehydrogenase major subunit)	putative formate dehydrogenase-O, major subunit
putative formate dehydrogenase, beta subunit (formatedehydrogenase [nadp+])	putative formate dehydrogenase, beta subunit
putative formyl dihydrofolate synthase	putative formate--dihydrofolate ligase
putative dihydrofolate formyltransferase	putative formate--dihydrofolate ligase
putative tetrahydrofolate formylase	putative formate--tetrahydrofolate ligase
putative formyltetrahydrofolate synthetase	putative formate--tetrahydrofolate ligase
putative tetrahydrofolic formylase	putative formate--tetrahydrofolate ligase
putative formate and nitrite transporters	putative formate/nitrite transporter
putative formiminoaspartate deiminase	putative formimidoylaspartate deiminase
putative formiminoglutamate hydrolase	putative formimidoylglutamase
putative formiminoglutamase	putative formimidoylglutamase
putative formiminoglutamate deiminase	putative formimidoylglutamate deiminase
putative formiminotetrahydrofolate cyclodeaminase	putative formimidoyltetrahydrofolate cyclodeaminase
putative formyl-coenzyme A transferase	putative formyl-CoA transferase
putative formyl-CoA oxalate CoA-transferase	putative formyl-CoA transferase
putative formyltetrahydrofolate hydrolase	putative formyltetrahydrofolate deformylase
putative formyltetrahydrofolate deformylase (Formyl-FH	putative formyltetrahydrofolate deformylase
putative formyl-FH(4) hydrolase	putative formyltetrahydrofolate deformylase
putative 10-formyltetrahydrofolate dehydrogenase	putative formyltetrahydrofolate dehydrogenase
putative fosfomycin resistance protein (glutathione transferase) BH1778 [imported]	putative fosfomycin resistance protein (glutathione transferase) BH1778
putative Bacteroides fragilis enterotoxin	putative fragilysin
putative 1-fructan exohydrolase	putative fructan beta-(2,1)-fructosidase
putative 1-FEH II	putative fructan beta-(2,1)-fructosidase
putative beta-(2-1)fructan exohydrolase	putative fructan beta-(2,1)-fructosidase
putative fructan ?-(2,1)-fructosidase	putative fructan beta-(2,1)-fructosidase
putative 1-FEH w1	putative fructan beta-(2,1)-fructosidase
putative beta-(2-1)-linkage-specific fructan-beta-fructosidase	putative fructan beta-(2,1)-fructosidase
putative beta-(2-1)-D-fructan fructohydrolase	putative fructan beta-(2,1)-fructosidase
putative 1-FEH w2	putative fructan beta-(2,1)-fructosidase
putative beta-(2,6)-D-fructan fructohydrolase	putative fructan beta-(2,6)-fructosidase
putative levanase	putative fructan beta-(2,6)-fructosidase
putative 6-FEH	putative fructan beta-(2,6)-fructosidase
putative beta-(2-6)-fructan exohydrolase	putative fructan beta-(2,6)-fructosidase
putative fructan exohydrolase	putative fructan beta-fructosidase
putative exo-beta-D-fructosidase	putative fructan beta-fructosidase
putative fructan ?-fructosidase	putative fructan beta-fructosidase
putative exo-beta-fructosidase	putative fructan beta-fructosidase
putative fructanase	putative fructan beta-fructosidase
putative polysaccharide beta-fructofuranosidase	putative fructan beta-fructosidase
putative D-fructokinase	putative fructokinase
putative D-fructose dehydrogenase	putative fructose 5-dehydrogenase
putative 5-ketofructose reductase (NADP+)	putative fructose 5-dehydrogenase (NADP(+))
putative 5-ketofructose reductase (NADP(+))	putative fructose 5-dehydrogenase (NADP(+))
putative fructose permease iic component	putative fructose permease IIC component
putative fructose permease iid component	putative fructose permease IID component
putative fructose 1,6-bisphosphatase II	putative fructose-1,6-bisphosphatase, class II
putative fructose-2,6-bisphosphatase	putative fructose-2,6-bisphosphate 2-phosphatase
putative D-fructose-6-phosphate D-erythrose-4-phosphate-lyase (phosphate- acetylating)	putative fructose-6-phosphate phosphoketolase
putative hexose diphosphatase	putative fructose-bisphosphatase
putative fructose 1,6-bisphosphatase	putative fructose-bisphosphatase
putative D-fructose-1,6-bisphosphate D-glyceraldehyde-3-phosphate-lyase	putative fructose-bisphosphate aldolase
putative aldolase	putative fructose-bisphosphate aldolase
putative fructose-1,6-bisphosphate triosephosphate-lyase	putative fructose-bisphosphate aldolase
putative fructose-specific phosphotransferase enzyme iib component (pts system fructose-specific eiib component) (eiib-fru)(p18)	putative fructose-specific phosphotransferase enzyme IIB component
putative fructose-specific phosphotransferase enzyme iib component	putative fructose-specific phosphotransferase enzyme IIB component
putative D-mannonate oxidoreductase	putative fructuronate reductase
